 GRB	  Tel  Yr   Mo     Dat      Days    Freq      Fl      rms   Ref
 970111   VLA  1997 Jan.   12.58    1.17    1.43     -99.     170.  fkc+97
 970111  WSRT  1997 Jan.   13.31    1.90    0.84     -99.     500.  ggs+97
 970111   VLA  1997 Jan.   13.58    2.17    1.43     -99.      60.  fkc+97
 970111  WSRT  1997 Jan.   14.31    2.90    0.84     -99.     900.  ggs+97
 970111   VLA  1997 Jan.   15.57    4.16    1.43     -99.     100.  fkc+97
 970111  WSRT  1997 Jan.   16.31    4.90    0.84     -99.     500.  ggs+97
 970111   VLA  1997 Jan.   17.62    6.21    1.43     -99.     110.  fkc+97
 970111  WSRT  1997 Jan.   20.31    8.90    0.84     -99.     500.  ggs+97
 970111   VLA  1997 Jan.   22.53   11.12    1.43     -99.     110.  fkc+97
 970111   VLA  1997 Jan.   26.41   15.00    1.43     -99.     110.  fkc+97
 970111   VLA  1997 Jan.   28.57   17.16    1.43     -99.     150.  fkc+97
 970111  WSRT  1997 Jan.   29.27   17.86    0.84     -99.     500.  ggs+97
 970111   VLA  1997 Jan.   30.59   19.18    1.43     -99.      90.  fkc+97
 970111   VLA  1997 Feb.    5.54   25.13    1.43     -99.      80.  fkc+97
 970111   VLA  1997 Feb.    9.41   29.00    1.43     -99.      60.  fkc+97
 970111  BIMA  1997 Feb.   10.58   30.17   85.00     -99.   10000.  sgll97
 970111  BIMA  1997 Feb.   13.59   33.18   85.00     -99.    1400.  sgll97
 970111  WSRT  1997 Feb.   26.05   45.64    5.00     -99.     150.  ggs+97
 970111  WSRT  1997 Feb.   27.29   46.88    5.00     -99.     150.  ggs+97
 970111   VLA  1997 Feb.   27.58   47.17    1.43     -99.      70.  fkc+97
 970111  WSRT  1997 Mar.    2.22   49.81    5.00     -99.     150.  ggs+97
 970111   VLA  1997 Mar.    6.62   54.21    1.43     -99.      80.  fkc+97
 970111  WSRT  1997 Mar.    9.16   56.75    0.84     -99.     500.  ggs+97
 970111  WSRT  1997 Apr.    9.08   87.67    0.84     -99.     500.  ggs+97
 970111   VLA  1997 Apr.   13.35   91.94    1.43     -99.      60.  fkc+97
 970111   VLA  1997 Apr.   13.35   91.94    8.46     -99.      20.  fkbw03
 970111  WSRT  1997 May    11.07  119.66    1.40     -99.      70.  ggs+97
 970111  WSRT  1997 May    12.06  120.65    1.40     -99.      70.  ggs+97
 970111   VLA  1997 May    28.22  136.81    8.46     -99.      20.  fkbw03
 970111   VLA  1997 Jul.    7.34  176.93    8.46     -99.      40.  fkbw03
 970228   VLA  1997 Mar.    1.03    0.90    1.43    -110.     100.  fksw98
 970228   VLA  1997 Mar.    2.16    2.00    1.43       8.      75.  fksw98
 970228   VLA  1997 Mar.    4.04    3.90    4.63      90.      70.  fksw98
 970228  BIMA  1997 Mar.    6.09    5.97   85.00     -99.    5500.  sgll97
 970228   VLA  1997 Mar.    7.05    6.90    1.43     -13.     135.  fksw98
 970228   VLA  1997 Mar.    7.06    6.90    8.46      76.      50.  fksw98
 970228  BIMA  1997 Mar.    7.11    6.99   86.40     -99.    1200.  sgll97
 970228   VLA  1997 Mar.    9.04    8.90    8.47      54.      50.  fksw98
 970228   VLA  1997 Mar.   11.16   11.00    8.46      20.      40.  fksw98
 970228   VLA  1997 Mar.   11.17   11.00    1.46    -195.      90.  fksw98
 970228   VLA  1997 Mar.   12.07   11.90    8.46     -24.      55.  fksw98
 970228   VLA  1997 Mar.   14.08   14.00    8.46     -49.      40.  fksw98
 970228  OVRO  1997 Mar.   16.09   16.00   92.70     -99.     720.  sfkm98
 970228  OVRO  1997 Mar.   16.09   16.00  242.40     -99.    1270.  sfkm98
 970228   VLA  1997 Mar.   23.03   22.90    8.46       2.      36.  fksw98
 970228   VLA  1997 Mar.   29.86   29.70    8.46       4.      12.  fksw98
 970228   VLA  1997 Apr.    1.97   32.80    1.43      22.      55.  fksw98
 970228   VLA  1997 Apr.    1.98   32.90    8.46      55.      30.  fksw98
 970228   VLA  1997 Apr.    4.97   35.80    8.46     -43.      25.  fksw98
 970228   VLA  1997 Apr.   18.89   49.80    8.46     -28.      23.  fksw98
 970228   VLA  1997 Apr.   29.90   60.80    8.46      13.      26.  fksw98
 970228   VLA  1997  May   18.81   79.70    8.46     -79.      35.  fksw98
 970228   VLA  1997 Jun.    7.74   99.60    8.46      25.      19.  fksw98
 970228   VLA  1997 Aug.   28.61  181.50    8.46      -6.      13.  fksw98
 970228   VLA  1998 Jan.    7.00  312.90    8.46     -99.      12.  fksw98
 970228   VLA  1998 Feb.   21.96  358.80    1.43     -99.      24.  fkbw03
 970228   VLA  1998 Mar.    8.94  373.80    1.43     -99.      23.  fkbw03
 970228   VLA  1998 Mar.   17.96  382.80    1.43     -99.      25.  fkbw03
 970402  ATCA  1997 Apr.    3.63    0.70    1.43     -99.    1000.  fkbw03
 970402  ATCA  1997 Apr.    4.26    1.33    4.86     -99.     350.  fkbw03
 970402  ATCA  1997 Apr.    4.51    1.58    8.66     -99.     350.  fkbw03
 970402  ATCA  1997 Jul.    3.27   91.34    4.86     -99.      74.  fkbw03
 970402  ATCA  1997 Jul.    3.55   91.62    8.46     -99.      63.  fkbw03
 970508   VLA  1997  May    9.05    0.15    1.43     -99.      45.  fwk00 
 970508  WSRT  1997  May    9.70    0.80    1.40     -90.      80.  gwb+98
 970508   VLA  1997  May    9.84    0.93    1.43     -99.      89.  fwk00 
 970508  WSRT  1997  May   10.64    1.74    1.40      20.      70.  gwb+98
 970508  OVRO  1997  May   11.15    2.25   86.80     -99.    3600.  sfkm98
 970508  WSRT  1997  May   11.63    2.73    1.40     140.      70.  gwb+98
 970508  OVRO  1997  May   11.92    3.02   86.80     -99.    2600.  sfkm98
 970508  OVRO  1997  May   13.46    4.56   86.80     -99.    1300.  sfkm98
 970508   VLA  1997  May   13.96    5.06    8.46     430.      25.  fwk00 
 970508  WSRT  1997  May   14.62    5.72    1.40     -70.      80.  gwb+98
 970508   VLA  1997  May   15.09    6.19    1.43     100.      32.  fwk00 
 970508   VLA  1997  May   15.13    6.23    4.86     330.      33.  fwk00 
 970508   VLA  1997  May   15.13    6.23    8.46     610.      33.  fwk00 
 970508  OVRO  1997  May   15.56    6.66   86.80     -99.    2270.  sfkm98
 970508  WSRT  1997  May   16.63    7.73    1.40     180.      80.  gwb+98
 970508   VLA  1997  May   16.49    7.59    8.46     520.      18.  fwk00 
 970508   VLA  1997  May   16.79    7.89    8.46     602.      24.  fwk00 
 970508   VLA  1997  May   17.30    8.40    8.46     604.      56.  fwk00 
 970508  OVRO  1997  May   17.38    8.48   86.80     -99.    1500.  sfkm98
 970508  PdBI  1997  May   17.42    8.52   86.20     450.     800.  bkg+98
 970508  WSRT  1997  May   18.61    9.71    1.40     -60.      70.  gwb+98
 970508   VLA  1997  May   18.83    9.93    1.43     -99.      63.  fwk00 
 970508   VLA  1997  May   18.85    9.95    4.86     480.      64.  fwk00 
